CoordenadorID;Nome;Afiliacao;RefID;RefNome
0850846128967798;Manoel Henrique Reis Nascimento;Instituto de Tecnologia e Educação Galileo da Amazônia, ITEGAM, Brasil.;7279183940171317;Manoel Henrique Reis Nascimento
2834405436222065;Rui Carlos Zambiazi;Universidade Federal de Pelotas, UFPEL, Brasil.;2834405436222065;Rui Carlos Zambiazi
9171815778534257;Luiz Satoru Ochi;Universidade Federal Fluminense, UFF, Brasil.;9171815778534257;Luiz Satoru Ochi
6747136646016870;Tiago Alessandro Espinola Ferreira;Universidade Federal Rural de Pernambuco, UFRPE, Brasil.;6747136646016870;Tiago Alessandro Espinola Ferreira
6747136646016870;Tiago Alessandro Espinola Ferreira;Universidade Federal Rural de Pernambuco, UFRPE, Brasil.;6747136646016870;Tiago Alessandro Espinola Ferreira
9366427824416484;Aratã Andrade Saraiva;Universidade Estadual do Piauí, UESPI, Brasil.;9366427824416484;Aratã Andrade Saraiva
3373541964910904;Luiz Henrique de Campos Merschmann;Universidade Federal de Lavras, UFLA, Brasil.;3373541964910904;Luiz Henrique de Campos Merschmann
8583462151923968;Fuad Mousse Abinader Junior;SIDIA INSTITUTO DE CIENCIA E TECNOLOGIA, SIDIA, Brasil.;757666181169076;Fuad Mousse Abinader Junior
5317074159250496;María del Rosario Girardi Gutiérrez;Universidade Federal do Maranhão, UFMA, Brasil.;5317074159250496;María del Rosario Girardi Gutiérrez
1461416649933311;Alexandre Acácio de Andrade;Universidade Federal do ABC, UFABC, Brasil.;1461416649933311;Alexandre Acácio de Andrade
5539599537097451;Pedro André Carvalho Rosas;Universidade Federal de Pernambuco, UFPE, Brasil.;5539599537097451;Pedro André Carvalho Rosas
8153656785826563;Genilson Valotto Patuzzo;Universidade Tecnológica Federal do Paraná, UTFPR, Brasil.;4222504207805706;Genilson Valotto Patuzzo
7428764744607826;Elisabete Adami;Fundação Armando Alvares Penteado, FAAP, Brasil.;7428764744607826;Elisabete Adami
5098313138514050;Rosa Maria Vicari;Universidade Federal do Rio Grande do Sul, UFRGS, Brasil.;4835965044336330;Rosa Maria Vicari
1438044221630918;Mayra Luiza Marques da Silva;Universidade Federal de São João Del-Rei, UFSJ, Brasil.;1438044221630918;Mayra Luiza Marques da Silva
4050543429604952;Amadeu Sá de Campos Filho;Universidade Federal de Pernambuco, UFPE, Brasil.;4050543429604952;Amadeu Sá de Campos Filho