coordenador id;nome;afiliacao;ref id;ref nome;estado
3355338790654065;Veronica Teichrieb;Universidade Federal de Pernambuco, UFPE, Brasil.;4321649532287831;Verônica Teichrieb;Pernambuco
0649930882307115;Francisco Carlos de Mattos Brito Oliveira;Universidade Estadual do Ceará, UECE, Brasil.;649930882307115;Francisco Carlos de Mattos Brito Oliveira;Ceará
8901320181295016;Romero Tori;Universidade de São Paulo, USP, Brasil.;813823100105934;Romero Tori;São Paulo
4340581249924621;Rosa Monteiro Paulo;Universidade Estadual Paulista Júlio de Mesquita Filho, UNESP, Brasil.;4340581249924621;Rosa Monteiro Paulo;Pernambuco
4794107935753176;Alvaro Joao Magalhaes de Queiroz;Universidade Federal de Juiz de Fora, UFJF, Brasil.;4794107935753176;Alvaro Joao Magalhaes de Queiroz;Minas Gerais
3767009717402045;Alexandre Cardoso;Universidade Federal de Uberlândia, UFU, Brasil.;3767009717402045;Alexandre Cardoso;Minas Gerais
4006878042502781;Andre Schneider de Oliveira;Universidade Tecnológica Federal do Paraná, UTFPR, Brasil.;4006878042502781;Andre Schneider de Oliveira;Paraná
4791589931798048;Esteban Walter Gonzalez Clua;Universidade Federal Fluminense, UFF, Brasil.;4791589931798048;Esteban Walter Gonzalez Clua;Rio de Janeiro
3191129244573056;Sandro Roberto Fernandes;Instituto Federal do Sudeste de Minas Gerais, IF SUDESTE MG, Brasil.;3191129244573056;Sandro Roberto Fernandes;Minas Gerais
0584425766553916;Giovanna Graziosi Casimiro;Laboratório de Arte contemporanea, Tecnolodia e Mídias Digitias, LABART, Brasil.;584425766553916;Giovanna Graziosi Casimiro;Rio Grande do Sul
6001559184049370;Mirella de Medeiros Misi;Universidade Federal da Bahia, UFBA, Brasil.;6001559184049370;Mirella de Medeiros Misi;Bahia
3827444548540732;Adilson Vahldick;Universidade do Estado de Santa Catarina, UDESC\CEAVI, Brasil.;3827444548540732;Adilson Vahldick;Santa Catarina
0110284367744326;Edson Roberto Minatel;Ablevision Sistemas Computacionais Ltda, ABLEVISION, Brasil.;9844015070032232;Edson Minatel;São Paulo
0992498795960159;Eunice Pereira dos Santos Nunes;Universidade Aberta do Brasil, UAB, Brasil.;8064558616443413;Eunice Pereira dos Santos Nunes;Mato Grosso
4186515742605446;Victor Hugo Costa de Albuquerque;Universidade Federal do Ceará, UFC, Brasil.;4186515742605446;Victor Hugo Costa de Albuquerque;Ceará
0116830050245232;Paulo Roberto Boa Sorte Silva;Universidade Federal de Sergipe, UFS, Brasil.;116830050245232;Paulo Roberto Boa Sorte Silva;Sergipe
5458829100371043;Regina Coeli Ruschel;Universidade Estadual de Campinas, UNICAMP, Brasil.;409865244128616;Regina Coeli Ruschel;São Paulo
4465619366143200;Mylene Christine Queiroz de Farias;Universidade de Brasília, UnB, Brasil.;4465619366143200;Mylene Christine Queiroz de Farias;Distrito Federal
2259041691301555;Marcelo da Silva Hounsell;Universidade do Estado de Santa Catarina, UDESC, Brasil.;48790978449306;Marcelo da Silva Hounsell;Santa Catarina
6620664028434195;Luis Fernando Soares;Universidade Federal de São João Del-Rei, UFSJ, Brasil.;4611623889620565;Luis Fernando Soares;Pernambuco
2413369452452350;Liz Carmem Silva-Pereira;Instituto Federal de Educação, Ciência e Tecnologia do Pará, Campus Itaitub, IFPA, Brasil.;2413369452452350;Liz Carmem Silva-Pereira;Pará
1584574231456379;Breno Maciel Souza Reis;Universidade Federal do Rio Grande do Sul, UFRGS, Brasil.;1584574231456379;Breno Maciel Souza Reis;Rio Grande do Sul
3860172079417937;Adriane Borda Almeida da Silva;Universidade Federal de Pelotas, UFPEL, Brasil.;7229833456758124;Adriane Borda Almeida da SIlva;Rio Grande do Sul
6495915655298176;Adriana Gomes Alves;Universidade do Vale do Itajaí, UNIVALI, Brasil.;6495915655298176;Adriana Gomes Alves;Santa Catarina
6817254319412151;Polise Moreira De Marchi;Fundação Armando Álvares Penteado, FAAP, Brasil.;6817254319412151;Polise Moreira De Marchi;São Paulo
2746290295878975;Kate Mamhy Oliveira Kumada;Universidade Federal do ABC, UFABC, Brasil.;2746290295878975;Kate Mamhy Oliveira;São Paulo
5123696681613759;Tania Rossi Garbin;Universidade Federal de Ouro Preto, UFOP, Brasil.;8362852284802251;Tânia Rossi Garbin;Minas Gerais
2343273642042806;Márcia Regina de Freitas;UNESP Guaratinguetá, FEG, Brasil.;2343273642042806;Márcia Regina de Freitas;São Paulo
2125238602476950;Simone Keller Füchter;Faculdade Estacio de Sa, ESTACIO, Brasil.;2125238602476950;Simone Keller Füchter;Rio de Janeiro
8243001226255815;Pablo Alexandre Gobira de Souza Ricardo;Universidade do Estado de Minas Gerais, UEMG, Brasil.;8243001226255815;Pablo Alexandre Gobira de Souza Ricardo;Minas Gerais
9999217523842385;Eliane Pozzebon;Universidade Federal de Santa Catarina, UFSC, Brasil.;9999217523842385;Eliane Pozzebon;Santa Catarina
0326014908040698;Renata Lacerda Caldas;Instituto Federal Fluminense, IFF, Brasil.;326014908040698;Renata Lacerda Caldas;Rio de Janeiro
3554024776201116;Liliane da Silva Coelho Jacon;Universidade Federal de Rondônia, UNIR, Brasil.;3554024776201116;Liliane da Silva Coelho Jacon;Rondônia
6165964080419504;Josyanne Pinto Giesta;Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte, IFRN, Brasil.;6165964080419504;Josyanne Pinto Giesta;Rio Grande do Norte
8487981600635230;Cesar Reis;Universidade Federal de Viçosa, UFV, Brasil.;152834093913136;César Reis;Minas Gerais
1553616454067748;César Imai;Universidade Estadual de Londrina, UEL, Brasil.;4778641486908033;CÉSAR IMAI;Paraná
7143571029793493;Stephanie Kamarry Alves de Sousa;Instituto Federal de Sergipe, IFS, Brasil.;7143571029793493;Stephanie Kamarry Alves de Sousa;Sergipe
5752128941340564;Edgar Roberto Kirchof;Universidade Luterana do Brasil, ULBRA, Brasil.;5752128941340564;Edgar Roberto Kirchof;Rio Grande do Sul
7887916265742855;Glaucia Nolasco de Almeida Mello;Pontifícia Universidade Católica de Minas Gerais, PUC Minas, Brasil.;7887916265742855;Glaucia Nolasco de Almeida Mello;Minas Gerais
6813786273390182;Tales Nereu Bogoni;Universidade Estadual de Mato Grosso, UNEMAT, Brasil.;3010497094377497;Tales Nereu Bogoni;Mato Grosso
9405118016902400;Edna de Mello Silva;Universidade Federal de São Paulo, UNIFESP, Brasil.;9405118016902400;Edna de Mello Silva;São Paulo
5998752909180697;Alyson de Jesus dos Santos;Instituto Federal de Educação, Ciência e Tecnologia do Amazonas, IFAM, Brasil.;5998752909180697;Alyson de Jesus dos Santos;Amazonas
1934903225521860;Francisco Madeiro Bernardino Junior;Universidade Católica de Pernambuco, UNICAP, Brasil.;1934903225521860;Francisco Madeiro Bernardino Junior;Pernambuco
0148962230603842;Marcus Vinícius Liessem Fontana;Universidade Federal da Fronteira Sul, UFFS, Brasil.;148962230603842;Marcus Vinícius Liessem Fontana;Santa Catarina
2087785677186785;Isabel Dillmann Nunes;Universidade Federal do Rio Grande do Norte, UFRN, Brasil.;2087785677186785;Isabel Dillmann Nunes;Rio Grande do Norte
4394162331037750;Alberto Barbosa Raposo;Pontifícia Universidade Católica do Rio de Janeiro, PUC-Rio, Brasil.;4394162331037750;Alberto Barbosa Raposo;Rio de Janeiro
3309342336039521;Ney Laert Vilar Calazans;Conselho Nacional de Desenvolvimento Científico e Tecnológico, CNPq, Brasil.;4394162331037750;Ney Calazans;Distrito Federal
0555490225765351;Sergio da Costa Nunes;Instituto Federal de Educação Ciência e Tecnologia Sul-rio-grandense, IFSUL, Brasil.;555490225765351;Sergio da Costa Nunes;Rio Grande do Sul
9202801399600456;Jorge Antonio Silva Centeno;Universidade Federal do Paraná, UFPR, Brasil.;9202801399600456;Jorge Antonio Silva Centeno;Paraná
8795066026611788;Maurício José Laguardia Campomori;Universidade Federal de Minas Gerais, UFMG, Brasil.;8795066026611788;Maurício José Laguardia Campomori;Minas Gerais
8933624812566216;Ingrid Winkler;SENAI - Departamento Regional da Bahia, SENAI/DR/BA, Brasil.;5034444360451621;Ingrid Winkler;Bahia
9756167788721062;Nelson Cruz Sampaio Neto;Universidade Federal do Pará, UFPA, Brasil.;9756167788721062;Nelson Cruz Sampaio Neto;Pará
0159010164759435;Marcelo Almeida Bairral;Universidade Federal Rural do Rio de Janeiro, UFRRJ, Brasil.;4340581249924621;Marcelo Almeida Bairral;Rio de Janeiro
2029488267292298;Breno de Paula Andrade Cruz;Universidade Federal do Rio de Janeiro, UFRJ, Brasil.;2029488267292298;Breno de Paula Andrade Cruz;Rio de Janeiro
8479082398514293;Marcelo Becker;Escola de Engenharia de São Carlos Universidade de São Paulo, EESC - USP, Brasil.;8479082398514293;Marcelo Becker;São Paulo
0277705848688464;Claudio Kirner;Universidade Federal de Itajubá, UNIFEI, Brasil.;277705848688464;Claudio Kirner;Minas Gerais
4019150313777291;Paulo Eigi Miyagi;Instituto de Pesquisas Tecnológicas do Estado de São Paulo, IPT, Brasil.;4185679659611455;Paulo Eigi Miyagi;São Paulo
8718817544368644;Fabio de Souza Alves;Instituto Federal de Santa Catarina, IFSC, Brasil.;8718817544368644;Fabio de Souza Alves;Santa Catarina
0412919715126909;Fernando Selleri Silva;Universidade do Estado de Mato Grosso, UNEMAT, Brasil.;412919715126909;Fernando Selleri Silva;Mato Grosso
7514305376858192;Luciano Silva;Universidade Cruzeiro do Sul, UNICSUL, Brasil.;7514305376858192;Luciano Silva;Acre
5925784315354434;Clicéres Mack Dal Bianco;Universidade Regional Integrada do Alto Uruguai e das Missões, URI, Brasil.;5925784315354434;Clicéres Mack Dal Bianco;Minas Gerais
9911012866860858;Filipe Pereira Mesquita dos Santos;Instituto Federal de Educação, Ciência e Tecnologia do Rio de Janeiro, IFRJ, Brasil.;9911012866860858;Filipe Pereira Mesquita dos Santos;Rio de Janeiro
4731132112733505;Adinovan Henriques de Macedo Pimenta;Centro Universitário Adventista de São Paulo, UNASP, Brasil.;4731132112733505;Adinovan Henriques de Macedo Pimenta;São Paulo
4571544548251124;Victor Gonçalves Gloria Freitas;S B I, UCAM, Brasil.;4571544548251124;Victor Gonçalves Gloria Freitas;Rio de Janeiro
5938003791536092;Rosinei Batista Ribeiro;Centro Universitário Teresa D' Ávila, UNIFATEA, Brasil.;5938003791536092;Rosinei Batista Ribeiro;São Paulo
9016360553400035;Maria Lencastre Pinheiro de Menezes Cruz;Universidade de Pernambuco, UPE, Brasil.;9016360553400035;Maria Lencastre Pinheiro de Menezes Cruz;Pernambuco
6602202569381703;Luciano Denardin de Oliveira;Pontifícia Universidade Católica do Rio Grande do Sul, PUCRS, Brasil.;6602202569381703;Luciano Denardin de Oliveira;Rio Grande do Sul
9907691146700229;Márcio Antônio Duarte;Universidade Federal de Goiás, UFG, Brasil.;9907691146700229;Márcio Antônio Duarte;Goiás
4754106250302979;Daniel Lima Gomes Júnior;Instituto Federal do Maranhão, IFMA, Brasil.;4754106250302979;Daniel Lima Gomes Júnior;Maranhão
1520994716359117;Ivana Marcia Oliveira Maia;(CNPq) Conselho Nacional de Desenvolvimento Científico e Tecnológico.;4754106250302979;IVANA MÁRCIA  OLIVEIRA MAIA;Distrito Federal
1974791787566027;Mauricio Marengoni;Universidade Presbiteriana Mackenzie, MACKENZIE, Brasil.;1974791787566027;Mauricio Marengoni;São Paulo
1916245590298485;João Paulo Silva do Monte Lima;Universidade Federal Rural de Pernambuco, UFRPE, Brasil.;8817591964244237;João Paulo Lima;Pernambuco
7259733398888112;Valéria Ilsa Rosa;Fundação Universidade Regional de Blumenau, FURB, Brasil.;7259733398888112;Valéria Ilsa Rosa;Santa Catarina
2142163449017349;Doris Catharine Cornelie Knatz Kowaltowski;FEC, UNICAMP, Brasil.;3977567032725249;Doris C C K Kowaltowski;São Paulo
6764226783548215;Cecília Félix Andrade Silva;Instituto Federal  Minas Gerais, IFMG, Brasil.;374012247711818;Cecilia Felix Andrade Silva;Minas Gerais
8158865847990189;Paulo Raimundo Pinto;Instituto Tecnológico Vale, ITV, Brasil.;374012247711818;Paulo Raimundo Pinto;Goiás
1722113830390578;Débora Aita Gasparetto;Universidade Federal de Santa Maria, UFSM, Brasil.;1722113830390578;Débora Aita Gasparetto;Rio Grande do Sul
7949216376138752;Fabio Britto de Carvalho Almeida;SENAI-CIMATEC, CIMATEC, Brasil.;7949216376138752;Fabio Britto de Carvalho Almeida;Bahia
4258800700795106;Ana Paula Piovesan Melchiori;Universidade Federal de Lavras, UFLA, Brasil.;3393043381118573;Ana Paula Piovesan Melchiori;Minas Gerais
9346178640224901;Luciene Cavalcanti Rodrigues;Instituto Federal de São Paulo, IFSP, Brasil.;9346178640224901;Luciene Cavalcanti Rodrigues;São Paulo
62949670854701136294967085470113;Luiz Cláudio Machado dos Santos;Universidade do Estado da Bahia, UNEB, Brasil.;6294967085470113;Luiz Cláudio Machado dos Santos;Bahia
1095395084173623;Fernando Firmino da Silva;Universidade Estadual da Paraíba, UEPB, Brasil.;1095395084173623;Fernando Firmino da Silva;Paraíba
9637121030877187;Cristiano André da Costa;Universidade do Vale do Rio dos Sinos, UNISINOS, Brasil.;3914159735707328;Cristiano André da Costa;Rio Grande do Sul
5021830666471504;Mayara Lustosa de Oliveira Barbosa;Instituto Federal de Brasília, IFB, Brasil.;5021830666471504;Mayara Lustosa de Oliveira Barbosa;Distrito Federal
9306302347633373;Emerson de Sousa Costa;Centro Federal de Educação Tecnológica de Minas Gerais, CEFET/MG, Brasil.;9306302347633373;Emerson de Sousa Costa;Minas Gerais
7286663892055106;Maria Aparecida Alves de Cerqueira Luz;Faculdade de Odontologia da Universidade de São Paulo, FOUSP, Brasil.;7286663892055106;Maria Aparecida Alves de Cerqueira Luz;São Paulo
9138713186222689;Diane Belusso;INSTITUTO FEDERAL DO PARANA, IFPR, Brasil.;9138713186222689;Diane Belusso;Paraná
0543232182796499;Sandro César Silveira Jucá;Instituto Federal do Ceará, IFCE, Brasil.;543232182796499;Sandro César Silveira Jucá;Ceará
4134919454057451;Fabiana Frata Furlan Peres;Universidade Estadual do Oeste do Paraná, UNIOESTE, Brasil.;4134919454057451;Fabiana Frata Furlan Peres;Paraná
8205501453013894;Marcos Wagner de Souza Ribeiro;Universidade Federal de Jataí, UFJ, Brasil.;987947348533817;Marcos Wagner de Souza Ribeiro;Goiás
4892345821929149;Patricia Kayser Vargas Mangan;Universidade La Salle - Canoas, UNILASALLE, Brasil.;4892345821929149;Patricia Kayser Vargas Mangan;Rio Grande do Sul
1292601001838768;Leiva Casemiro Oliveira;Universidade Federal Rural do Semi-Árido, UFERSA, Brasil.;1292601001838768;Leiva Casemiro Oliveira;Rio Grande do Norte
6864702691556027;Lúcio Paulo do Amaral Crivano Machado;Universidade do Estado do Rio de Janeiro, UERJ, Brasil.;6864702691556027;Lúcio Paulo do Amaral Crivano Machado;Rio de Janeiro
5206162448542942;Rosane Moreira Silva de Meirelles;Fundação Oswaldo Cruz, FIOCRUZ, Brasil.;6864702691556027;Rosane Meirelles;Ceará
3483462003007835;Rafael de Moura Speroni;Instituto Federal Catarinense, IF-Catarinense, Brasil.;3483462003007835;Rafael de Moura Speroni;Santa Catarina
0501764855693100;Sandra Dutra Piovesan;Universidade Federal do Pampa, UNIPAMPA, Brasil.;501764855693100;Sandra Dutra Piovesan;Rio Grande do Sul
4162291555771478;Marcelo Vera Cruz Diniz;Instituto Federal da Bahia, IFBA, Brasil.;4162291555771478;Marcelo Vera Cruz Diniz;Bahia
2646104845996419;Teófilo Augusto da Silva;Universidade Federal do Sul e Sudeste do Pará, UNIFESSPA, Brasil.;2646104845996419;Teófilo Augusto da Silva;Pará
0463363430536002;Davi Guimarães da Silva;Instituto Federal de Educação, Ciência e Tecnologia do Pará, IFPA, Brasil.;463363430536002;Davi Guimarães da Silva;Pará
4607042780750206;Aléxia Pádua Franco;Faculdade de Educação da Universidade Federal de Uberlândia, FACED UFU, Brasil.;4607042780750206;Aléxia Pádua Franco;Minas Gerais
7221692456270122;Isabel Cristina Siqueira da Silva;Fundação Universidade Federal de Ciências da Saúde de Porto Alegre, UFCSPA, Brasil.;7221692456270122;Isabel Cristina Siqueira da Silva;Rio Grande do Sul
6614550860293610;Guido Lemos de Souza Filho;Secretaria de Ciência e Tecnologia de João Pessoa, SECITEC, Brasil.;6614550860293610;Guido Lemos de Souza Filho;Paraíba
6965119196945931;Alessandro de Lima Bicho;Universidade Federal do Rio Grande, FURG, Brasil.;6965119196945931;Alessandro de Lima Bicho;Rio Grande do Sul
0956823002875182;Rodolfo Pinto da Luz;Centro Universitário Euro-Americano, UNIEURO, Brasil.;1728783224542391;Rodolfo Pinto da Luz;Distrito Federal
1049090105081864;Noêmia Lazzareschi;Pontifícia Universidade Católica de São Paulo, PUC/SP, Brasil.;1049090105081864;Noêmia Lazzareschi;São Paulo
4512074340599645;Umberto Celli Junior;Faculdade de Direito de Ribeirão Preto- USP, FDRP, Brasil.;4512074340599645;Umberto Celli Junior;Pernambuco
